REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
VENETO,VICENZA,MONTECCHIO MAGGIORE,10711,10711,100.0,13,13,Aggiunti civici e coordinate,2026-09,10698,10698,2026-09-15,024061,F464,c_f464
VENETO,VICENZA,ASIAGO,5478,4214,76.93,13,10,Aggiunti civici e coordinate,2026-09,4201,5468,2026-09-15,024009,A465,c_a465
MARCHE,ANCONA,SENIGALLIA,17955,17955,100.0,12,12,Aggiunti civici e coordinate,2026-09,17943,17943,2026-09-15,042045,I608,c_i608
PUGLIA,BARI,ALTAMURA,31349,31284,99.79,12,12,Aggiunti civici e coordinate,2026-09,31272,31337,2026-09-15,072004,A225,c_a225
TOSCANA,PISA,CALCINAIA,6693,6690,99.96,12,12,Aggiunti civici e coordinate,2026-09,6678,6681,2026-09-15,050004,B392,c_b392
EMILIA ROMAGNA,RAVENNA,CONSELICE,7275,7275,100.0,12,11,Aggiunti civici e coordinate,2026-09,7263,7264,2026-09-15,039008,C963,c_c963
VENETO,VERONA,LEGNAGO,11052,11052,100.0,11,11,Aggiunti civici e coordinate,2026-09,11041,11041,2026-09-15,023044,E512,c_e512
EMILIA ROMAGNA,FORLI,SAVIGNANO SUL RUBICONE,8025,10,0.12,10,12,Aggiunti civici e coordinate,2026-09,0,8013,2026-09-15,040045,I472,c_i472
LOMBARDIA,COMO,CERMENATE,2921,2921,100.0,10,10,Aggiunti civici e coordinate,2026-09,2911,2911,2026-09-15,013064,C516,c_c516
EMILIA ROMAGNA,REGGIO EMILIA,CASALGRANDE,5376,5376,100.0,9,0,Aggiunte coordinate,2026-09,5367,5376,2026-09-15,035012,B893,c_b893
CAMPANIA,BENEVENTO,CASTELVETERE IN VAL FORTORE,1804,831,46.06,8,981,Aggiunti civici e coordinate,2026-09,823,823,2026-09-15,062020,C284,c_c284
EMILIA ROMAGNA,MODENA,FRASSINORO,2941,2941,100.0,8,8,Aggiunti civici e coordinate,2026-09,2933,2933,2026-09-15,036016,D783,c_d783
TRENTINO ALTO ADIGE,BOLZANO,SAN LORENZO DI SEBATO,1118,1118,100.0,8,8,Aggiunti civici e coordinate,2026-09,1110,1110,2026-09-15,021081,H956,c_h956
PIEMONTE,ALESSANDRIA,CASALE MONFERRATO,10851,10850,99.99,8,0,Aggiunte coordinate,2026-09,10842,10851,2026-09-15,006039,B885,c_b885
ABRUZZO,CHIETI,LANCIANO,15366,15366,100.0,7,7,Aggiunti civici e coordinate,2026-09,15359,15359,2026-09-15,069046,E435,c_e435
EMILIA ROMAGNA,BOLOGNA,GRANAROLO DELL'EMILIA,3863,3863,100.0,7,7,Aggiunti civici e coordinate,2026-09,3856,3856,2026-09-15,037030,E136,c_e136
EMILIA ROMAGNA,BOLOGNA,SANT'AGATA BOLOGNESE,2416,2416,100.0,7,7,Aggiunti civici e coordinate,2026-09,2409,2409,2026-09-15,037056,I191,c_i191
EMILIA ROMAGNA,MODENA,SASSUOLO,17267,17267,100.0,7,7,Aggiunti civici e coordinate,2026-09,17260,17260,2026-09-15,036040,I462,c_i462
EMILIA ROMAGNA,RAVENNA,LUGO,22184,22184,100.0,7,7,Aggiunti civici e coordinate,2026-09,22177,22177,2026-09-15,039012,E730,c_e730
MARCHE,ANCONA,ROSORA,1218,1218,100.0,7,7,Aggiunti civici e coordinate,2026-09,1211,1211,2026-09-15,042040,H575,c_h575
TOSCANA,FIRENZE,MONTELUPO FIORENTINO,6090,6090,100.0,7,7,Aggiunti civici e coordinate,2026-09,6083,6083,2026-09-15,048028,F551,c_f551
LAZIO,ROMA,SAN CESAREO,6427,136,2.12,7,2,Aggiunti civici e coordinate,2026-09,129,6425,2026-09-15,058119,M295,c_m295
LOMBARDIA,CREMONA,CREMONA,26139,26139,100.0,7,0,Aggiunte coordinate,2026-09,26132,26139,2026-09-15,019036,D150,c_d150
PIEMONTE,ALESSANDRIA,PONTESTURA,1266,1266,100.0,7,0,Aggiunte coordinate,2026-09,1259,1266,2026-09-15,006133,G858,c_g858
EMILIA ROMAGNA,MODENA,FINALE EMILIA,7240,7240,100.0,6,6,Aggiunti civici e coordinate,2026-09,7234,7234,2026-09-15,036012,D599,c_d599
EMILIA ROMAGNA,MODENA,FORMIGINE,10663,10663,100.0,6,6,Aggiunti civici e coordinate,2026-09,10657,10657,2026-09-15,036015,D711,c_d711
EMILIA ROMAGNA,MODENA,MARANELLO,9249,9249,100.0,6,6,Aggiunti civici e coordinate,2026-09,9243,9243,2026-09-15,036019,E904,c_e904
EMILIA ROMAGNA,PIACENZA,PIACENZA,29769,29769,100.0,6,6,Aggiunti civici e coordinate,2026-09,29763,29763,2026-09-15,033032,G535,c_g535
EMILIA ROMAGNA,REGGIO EMILIA,SANT'ILARIO D'ENZA,3185,3185,100.0,6,6,Aggiunti civici e coordinate,2026-09,3179,3179,2026-09-15,035039,I342,c_i342
PIEMONTE,NOVARA,NOVARA,25528,25528,100.0,6,6,Aggiunti civici e coordinate,2026-09,25522,25522,2026-09-15,003106,F952,c_f952
VENETO,VENEZIA,SALZANO,4967,4967,100.0,6,1,Aggiunti civici e coordinate,2026-09,4961,4966,2026-09-15,027032,H735,c_h735
BASILICATA,POTENZA,CHIAROMONTE,978,953,97.44,6,0,Aggiunte coordinate,2026-09,947,978,2026-09-15,076028,C619,c_c619
TOSCANA,LUCCA,LUCCA,47029,46991,99.92,5,12,Aggiunti civici e coordinate,2026-09,46986,47017,2026-09-15,046017,E715,c_e715
CALABRIA,REGGIO CALABRIA,PALMI,9128,9128,100.0,5,5,Aggiunti civici e coordinate,2026-09,9123,9123,2026-09-15,080057,G288,c_g288
EMILIA ROMAGNA,PARMA,LANGHIRANO,4485,4485,100.0,5,5,Aggiunti civici e coordinate,2026-09,4480,4480,2026-09-15,034018,E438,c_e438
